2015\09,2,0,0,0,0,2,0,0,0,0
2015\10,33,0,0,0,7,0,0,0,0,2
2015\11,79,0,0,2,3,1,0,0,0,4
2015\12,26,0,0,1,0,2,0,0,0,2
2016\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\02,32,0,2,0,0,0,0,0,0,4
2016\03,289,0,22,0,5,1,0,0,0,8
2016\04,75,0,6,0,4,0,0,0,0,2
2016\05,40,0,8,0,0,0,0,0,0,0
2016\06,68,0,6,0,2,0,0,0,0,1
2016\07,67,0,12,0,1,2,0,0,0,0
2016\08,103,2,10,0,8,0,0,0,0,6
2016\09,9,0,0,0,1,2,0,0,0,0
2016\10,41,0,0,2,0,1,0,0,0,0
2016\11,42,0,2,0,14,0,0,0,0,0
2016\12,30,0,0,0,13,0,0,0,0,0
2017\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\02,213,0,0,3,26,0,0,0,0,1
2017\03,208,0,2,1,27,0,0,0,0,3
2017\04,29,0,0,0,1,1,0,0,0,2
2017\05,2,0,0,2,0,0,0,0,0,0
2017\06,30,0,0,0,13,0,0,0,0,0
2017\07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\08,6,0,0,0,1,1,0,0,0,0
2017\09,2,0,0,0,0,2,0,0,0,0
2017\10,15,0,0,1,1,3,0,0,0,1
2017\11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018\02,6,0,0,0,2,0,0,0,0,0
2018\03,75,0,0,1,6,2,0,0,0,0
2018\04,66,0,2,0,1,1,0,0,0,8
2018\05,1227,0,20,12,0,0,0,0,0,5
2018\06,12,0,0,1,0,0,0,0,0,1
2018\07,51,0,0,1,3,0,0,0,0,0
2018\08,86,0,0,6,3,0,0,0,0,2
