2015\09,248,0,1,0,24,12,0,0,0,23
2015\10,341,0,2,2,41,10,0,0,0,8
2015\11,106,0,0,0,18,3,0,0,0,6
2015\12,89,0,0,0,3,7,0,0,0,4
2016\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\02,776,0,0,6,36,78,10,0,0,38
2016\03,839,0,2,0,78,75,2,0,0,37
2016\04,619,0,2,0,48,41,4,0,0,11
2016\05,368,0,0,0,21,40,3,0,0,6
2016\06,117,0,0,0,13,11,1,0,0,1
2016\07,308,0,0,0,17,12,0,0,0,1
2016\08,397,0,0,4,27,42,0,0,0,2
2016\09,395,0,0,2,28,25,0,0,0,0
2016\10,239,0,0,0,7,10,0,16,0,5
2016\11,54,0,0,0,10,2,0,0,0,0
2016\12,19,0,0,0,1,2,1,0,0,0
2017\01,6,0,0,0,0,0,1,0,0,0
2017\02,1369,0,0,0,70,112,28,0,0,23
2017\03,196,0,0,1,25,18,11,0,0,6
2017\04,417,0,4,0,11,31,0,0,0,3
2017\05,138,0,0,4,15,9,5,0,0,2
2017\06,142,0,0,0,10,11,0,0,0,4
2017\07,49,0,0,0,2,2,1,0,0,5
2017\08,269,0,0,0,11,14,0,0,0,7
2017\09,136,0,0,1,7,20,0,0,0,2
2017\10,985,0,0,0,16,28,67,37,0,0
2017\11,99,0,0,0,7,2,0,0,0,0
2017\12,102,0,1,0,0,14,0,0,0,8
2018\01,56,0,0,0,9,0,0,0,0,0
2018\02,257,0,0,1,6,34,1,0,0,3
2018\03,398,0,0,1,27,49,0,0,0,9
2018\04,105,0,0,1,6,9,2,0,0,2
2018\05,378,0,0,0,19,63,0,0,0,0
2018\06,207,0,1,0,19,19,0,0,0,5
2018\07,560,0,4,0,12,16,1,1,0,4
2018\08,287,0,4,0,30,17,0,0,0,13
