2015\09,258,2,13,4,82,2,0,0,0,47
2015\10,302,2,11,7,77,4,0,0,0,39
2015\11,195,4,16,11,60,0,0,0,0,22
2015\12,168,0,6,3,47,9,0,0,0,27
2016\01,54,0,0,0,20,6,0,0,0,8
2016\02,920,5,2,5,270,29,0,0,0,148
2016\03,1032,0,6,13,336,53,0,0,0,126
2016\04,347,0,1,6,129,17,0,0,0,38
2016\05,333,0,3,5,137,17,0,0,0,31
2016\06,251,0,2,7,98,12,0,0,0,11
2016\07,320,0,4,3,106,17,0,0,0,36
2016\08,326,3,1,8,126,9,0,0,0,29
2016\09,287,0,10,4,77,20,0,0,0,26
2016\10,239,0,3,2,67,16,1,0,0,35
2016\11,173,2,2,10,66,3,0,0,0,4
2016\12,120,0,0,5,43,9,0,0,0,18
2017\01,26,0,0,0,6,4,0,0,0,1
2017\02,1336,1,21,28,477,58,0,0,0,202
2017\03,824,0,8,13,238,35,1,0,0,103
2017\04,343,0,4,5,101,8,0,0,0,51
2017\05,428,0,4,12,110,19,0,0,0,60
2017\06,263,0,6,7,76,14,0,0,0,37
2017\07,282,0,1,8,96,6,0,0,0,22
2017\08,351,2,5,7,136,7,0,0,0,31
2017\09,338,0,0,0,110,19,0,0,0,34
2017\10,428,0,4,0,105,44,1,0,0,20
2017\11,237,0,3,2,74,7,0,0,0,12
2017\12,127,0,0,0,44,6,0,0,0,16
2018\01,56,0,0,0,26,3,0,0,0,2
2018\02,302,0,2,6,114,21,0,0,0,34
2018\03,1330,0,15,14,480,44,0,0,0,113
2018\04,282,0,6,8,100,4,0,0,0,42
2018\05,464,0,1,5,143,5,0,0,0,54
2018\06,227,0,2,6,87,8,0,0,0,34
2018\07,230,0,3,5,84,17,0,0,0,24
2018\08,305,0,7,6,84,29,0,0,0,25
