2015\09,96,1,0,4,32,5,0,0,0,3
2015\10,74,0,0,0,16,9,0,0,0,11
2015\11,249,0,3,4,2,1,0,0,0,4
2015\12,219,0,2,3,2,0,0,0,0,6
2016\01,151,0,1,0,2,2,0,0,0,3
2016\02,2581,4,3,11,84,19,0,0,0,107
2016\03,1252,6,12,5,71,24,0,0,0,35
2016\04,141,4,1,2,15,2,0,0,0,12
2016\05,89,1,4,6,13,2,0,0,0,9
2016\06,174,0,4,4,18,3,0,0,0,8
2016\07,105,0,3,4,14,2,0,0,0,6
2016\08,331,2,9,16,27,1,0,0,0,6
2016\09,417,0,4,10,27,3,0,0,0,6
2016\10,94,0,4,4,9,4,0,0,0,4
2016\11,116,6,1,2,11,3,1,0,0,10
2016\12,142,2,5,7,16,0,0,0,0,5
2017\01,4,0,0,0,2,0,0,0,0,0
2017\02,2113,14,12,18,111,12,0,0,0,117
2017\03,1115,16,13,17,55,6,0,0,0,54
2017\04,226,5,4,2,16,4,0,0,0,10
2017\05,164,3,1,1,13,0,0,0,0,25
2017\06,128,0,2,2,8,6,0,0,0,10
2017\07,18,0,0,1,7,2,0,0,0,7
2017\08,332,4,16,12,24,2,0,0,0,20
2017\09,473,19,9,11,16,0,0,0,0,10
2017\10,401,3,1,0,31,26,2,0,0,19
2017\11,194,0,0,0,9,3,0,0,0,13
2017\12,83,2,1,1,13,1,0,0,0,7
2018\01,56,3,0,0,1,5,0,0,0,3
2018\02,189,10,10,0,27,2,0,0,0,12
2018\03,958,40,20,1,96,15,0,0,0,28
2018\04,157,2,0,4,15,1,0,0,0,5
2018\05,473,4,5,3,29,1,0,0,0,12
2018\06,280,3,7,1,8,0,0,0,0,3
2018\07,291,1,3,3,22,2,0,0,0,8
2018\08,687,7,8,7,22,0,0,0,0,17
