2015\09,687,7,9,1,24,4,0,0,0,39
2015\10,1052,0,17,0,41,1,0,0,0,49
2015\11,752,0,14,2,22,0,0,0,0,34
2015\12,424,0,6,0,11,1,0,0,0,13
2016\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\02,4304,0,1,0,33,9,0,0,0,74
2016\03,1711,0,13,0,41,17,0,0,0,57
2016\04,1074,0,3,12,27,7,0,0,0,33
2016\05,731,0,0,6,18,1,0,0,0,28
2016\06,477,0,6,9,20,2,0,0,0,7
2016\07,394,0,0,6,10,0,0,0,0,6
2016\08,432,0,0,4,14,5,0,0,0,12
2016\09,383,0,1,2,18,5,0,0,0,7
2016\10,212,0,0,0,8,7,0,0,0,11
2016\11,36,0,0,0,4,0,0,0,0,0
2016\12,126,0,0,0,5,0,0,0,0,0
2017\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\02,1186,0,0,3,58,2,0,0,0,15
2017\03,578,0,1,7,19,0,0,0,0,6
2017\04,109,0,0,0,3,3,0,0,0,4
2017\05,47,0,0,1,6,0,0,0,0,0
2017\06,118,0,2,2,7,4,0,0,0,0
2017\07,181,0,0,2,22,0,0,0,0,6
2017\08,123,0,1,0,9,10,0,0,0,2
2017\09,36,0,0,0,4,0,0,0,0,1
2017\10,65,0,2,0,0,8,1,0,0,2
2017\11,36,0,0,0,5,0,0,0,0,0
2017\12,90,0,0,1,3,2,0,0,0,1
2018\01,20,0,1,0,0,0,0,0,0,0
2018\02,114,0,0,1,9,0,0,0,0,0
2018\03,902,0,7,0,33,0,0,0,0,16
2018\04,148,0,3,0,25,1,0,0,0,3
2018\05,423,0,0,0,61,8,0,0,0,6
2018\06,160,0,0,0,23,0,0,0,0,1
2018\07,67,0,1,0,4,1,0,0,0,0
2018\08,168,0,0,0,6,9,0,0,0,2
