2015\09,6,0,0,0,2,0,0,0,0,2
2015\10,15,0,0,0,4,2,0,0,0,1
2015\11,14,0,0,0,0,6,0,0,0,0
2015\12,4,0,0,0,4,0,0,0,0,0
2016\01,1,0,0,0,0,1,0,0,0,0
2016\02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\03,65,0,0,0,18,0,0,0,0,1
2016\04,2,0,0,0,2,0,0,0,0,0
2016\05,11,0,0,0,0,0,0,0,0,7
2016\06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\07,2,0,0,0,0,2,0,0,0,0
2016\08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\09,5,0,0,0,1,0,0,0,0,0
2016\10,32,0,0,0,2,3,0,0,0,0
2016\11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\01,2,0,0,0,0,2,0,0,0,0
2017\02,37,0,0,0,20,11,0,0,0,1
2017\03,15,0,0,0,8,4,0,0,0,0
2017\04,6,0,0,0,0,3,0,0,0,0
2017\05,1,0,0,0,0,1,0,0,0,0
2017\06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\09,4,0,0,0,2,0,0,0,0,0
2017\10,38,0,0,0,0,11,0,0,0,0
2017\11,6,0,0,0,0,2,0,0,0,0
2017\12,3,0,0,0,0,1,0,0,0,0
2018\01,9,0,0,0,0,3,0,0,0,0
2018\02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018\03,19,0,0,0,1,5,0,0,0,0
2018\04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018\05,23,0,0,0,0,2,0,0,0,0
2018\06,3,0,0,0,0,1,0,0,0,0
2018\07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018\08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
